Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",Vegetarian,Miscellaneous,12.41,16.53,3.6,192.21
"SAUCE,HOMEMADE,WHITE,THICK",vegetarian,Miscellaneous,13.83,11.61,3.99,186.87
"SAUCE,LA VICTORIA,CHEDDAR CHS SAU",Non-vegetarian,Miscellaneous,13.05,9.07,1.86,161.17
"SAUCE,LA VICTORIA,NACHO CHS SAU W/JALAPENO PEPPERS,MED",Non-vegetarian,Miscellaneous,13.49,10.26,1.82,169.73
HAM SALAD SPREAD,Non-vegetarian,Meat products,15.53,10.65,8.68,217.09
