Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"MARGARINE-LIKE SPRD,APPRX 60% FAT,TUB,SOYBN HYDR&CTTNSD HYDR",Vegetarian,Fats and Edible Oils,60.8,0,0.6,549.6
"MARGARINE-LIKE SPRD,APPROX 60% FAT,STK,SOYBN HYDR&PALM HYDR",Vegetarian,Fats and Edible Oils,60.8,0,0.6,549.6
"MARGARINE-LIKE SPRD,APPRX 60%FAT,TUB,SOYBN HYDR&PALM HYDR&RG",Vegetarian,Fats and Edible Oils,60.8,0,0.6,549.6
"MARGARINE-LIKE SPRD,APPROX 60% FAT,TUB,UNSPEC OILS",Vegetarian,Fats and Edible Oils,60.8,0,0.6,549.6
"PORK,CURED,FAT (FROM HAM&ARM PICNIC),UNHTD",Non-vegetarian,Meat products,61.41,0.09,5.68,575.77
"PORK,CURED,FAT (FROM HAM&ARM PICNIC),ROASTED",Non-vegetarian,Meat products,61.86,0,7.64,587.3
