Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
CHILI POWDER,Vegetarian,Condiments and Spices,16.76,54.66,12.26,418.52
CORIANDER SEED,Vegetarian,Condiments and Spices,17.77,54.99,12.37,429.37
"PEPPER,RED OR CAYENNE",Vegetarian,Condiments and Spices,17.27,56.63,12.01,429.99
"INFANT FORMULA,MEAD JOHNSON,LOFENALAC,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,18,60,15,462
"INFANT FORMULA,CARNATION FOLLOW-UP,W/IRON,PDR,NOT RECON",Vegetarian,Miscellaneous,19.3,62.2,12.2,471.3
"SOUP,CLAM CHOWDER,NEW ENGLAND,DEHYD,DRY",Non-vegetarian,Miscellaneous,16.17,56.74,12.29,421.65
"SOUP,LIPTON,CUP-A-SOUP BROCCOLI&CHS,MIX,DRY",vegetarian,Miscellaneous,18.3,55.64,11.35,432.66
